Company1,Company2,Value
8,20,-0.2448856104127781
8,21,-0.2623925057784364
8,22,0.45716062020026477
8,23,0.3546685406379367
8,24,0.46530184815677333
8,25,0.39082155506332134
8,26,-0.05484799944773024
8,27,-0.264762694778511
8,28,0.7806555514630587
8,29,-0.04394714124602642
8,30,-0.1539908270580575
9,1,-0.6659245139948217
9,2,0.293256412620001
9,3,-0.696024024327787
9,4,-0.37926115805903876
9,5,-0.6747320204509192
9,6,0.2783795076650986
9,7,-0.4546428961089458
9,8,-0.22949434793965884
9,9,0.9999999999999999
9,10,0.8188649351203813
9,11,0.4120002302273027
9,12,0.38864121917167144
9,13,-0.612747900350283
9,14,0.4419706884459631
9,15,-0.7258775074202938
9,16,-0.5759454939645884
9,17,0.8128856940578032
9,18,-0.4404298258632629
9,19,0.8076538430927659
9,20,0.92872151463045
9,21,0.7916015577247354
9,22,-0.18514225650590774
9,23,-0.07316677396727818
9,24,-0.2547438157428133
9,25,-0.6551853462769048
9,26,0.48868190772591885
9,27,0.724024847886145
9,28,-0.3584223410578825
9,29,0.40699587569133866
9,30,0.790480532301784
10,1,-0.5294817378022899
10,2,0.502139079859866
10,3,-0.6230746621082269
10,4,-0.24580360946517693
10,5,-0.6010738693411192
10,6,0.16301385394546233
10,7,-0.37282486446813584
10,8,-0.18029215921468084
10,9,0.8188649351203814
10,10,0.9999999999999998
10,11,0.3930399997566196
10,12,0.25107753057788346
10,13,-0.5033928616737555
10,14,0.6351871986228483
10,15,-0.5842883701196113
10,16,-0.4697547692775545
10,17,0.6384233536909057
10,18,-0.3789075645258815
10,19,0.6360235930073476
10,20,0.7627911832098104
10,21,0.7418853080166021
10,22,-0.22075226339445353
10,23,-0.1899733441236404
10,24,-0.2866447980494973
10,25,-0.5153713574746868
10,26,0.5149724950839715
10,27,0.559880327751812
10,28,-0.2945443519422503
10,29,0.5062154103982512
10,30,0.8658163985126379
11,1,-0.3040843275221843
11,2,0.4263960099065121
11,3,-0.37841810582552254
11,4,0.1911147195183199
11,5,-0.29830079315239055
11,6,0.06400546868867454
11,7,-0.20023648184547788
11,8,-0.04559029725350076
11,9,0.4120002302273027
11,10,0.3930399997566196
11,11,1.0
11,12,0.8119599761912258
11,13,-0.2393312449068141
11,14,0.10718837234639797
11,15,-0.2646807731508558
11,16,-0.01980464024091328
11,17,0.08549392816237716
11,18,-0.24502912814644606
11,19,0.2880549991279685
11,20,0.21235837032497543
11,21,0.676542915533255
11,22,0.10563002200085184
11,23,-0.06958670082418336
11,24,-0.16144950455467175
11,25,-0.3014594846502523
11,26,0.8439878762305938
11,27,0.0698679881755663
11,28,-0.06293909748552924
11,29,0.8384059387312819
11,30,0.5950095200483896
12,1,-0.2804460760298782
12,2,0.35458484627056897
12,3,-0.3511989761374497
12,4,0.233861410124565
12,5,-0.27085053086324457
12,6,0.05801992405229779
12,7,-0.18201605077924773
12,8,-0.04291023789535564
12,9,0.38864121917167144
12,10,0.25107753057788346
12,11,0.8119599761912258
12,12,1.0
12,13,-0.20198013754234678
12,14,0.04931868664274669
12,15,-0.22816371813756378
12,16,0.04025105920461293
12,17,0.07400221227582342
12,18,-0.21697641925107417
12,19,0.28719184576962614
12,20,0.18050387742585283
12,21,0.6616255825597445
12,22,0.13716155394857865
12,23,-0.03181117014796955
12,24,-0.1374865113691985
12,25,-0.2717717852289998
12,26,0.8077858390004355
12,27,0.07855228328389141
12,28,-0.0034972554252050243
12,29,0.5412219249831814
12,30,0.5731854864636846
13,1,0.45010352110630975
13,2,0.21714623848801043
13,3,0.776492611391219
13,4,0.18763069374387067
